diputado_id,diputado_apellido,diputado_nombre,diputado_genero,diputado_distrito,mandato_inicio,mandato_fin,diputado_juramento,diputado_cese,diputado_bloque,bloque_inicio,bloque_fin
HCDN1228,DONKIN,CARLOS GUILLERMO,M,FORMOSA,2011-12-10T00:00:00,2015-12-09T00:00:00,2011-12-06T00:00:00,2015-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2011-12-10T00:00:00,2015-12-09T00:00:00
HCDN1255,DUCLOS,OMAR ARNALDO,M,BUENOS AIRES,2011-12-10T00:00:00,2015-12-09T00:00:00,2011-12-06T00:00:00,2015-12-09T00:00:00,GEN,2011-12-10T00:00:00,2015-12-09T00:00:00
HCDN1391,DURAND CORNEJO,GUILLERMO MARIO,M,SALTA,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,CONSERVADOR POPULAR,2013-12-10T00:00:00,2016-03-07T00:00:00
HCDN1391,DURAND CORNEJO,GUILLERMO MARIO,M,SALTA,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,UNION PRO,2016-03-08T00:00:00,2017-12-09T00:00:00
HCDN1559,DURE,LUCILA BEATRIZ,F,FORMOSA,2013-12-10T00:00:00,2017-12-09T00:00:00,2016-03-01T00:00:00,2017-12-09T00:00:00,PARTIDO SOCIALISTA,2016-03-01T00:00:00,2017-12-09T00:00:00
HCDN1227,DUTTO,GUSTAVO ALBERTO,M,BUENOS AIRES,2007-12-10T00:00:00,2011-12-09T00:00:00,2010-11-03T00:00:00,2011-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2010-11-03T00:00:00,2011-12-09T00:00:00
HCDN1442,ECHEGARAY,ALEJANDRO CARLOS AUGUSTO,M,BUENOS AIRES,2015-12-10T00:00:00,2019-12-09T00:00:00,2015-12-04T00:00:00,2019-12-09T00:00:00,UCR,2015-12-10T00:00:00,2019-12-09T00:00:00
HCDN1341,EHCOSOR,MARIA AZUCENA,F,BUENOS AIRES,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,FRENTE RENOVADOR,2013-12-10T00:00:00,2015-12-09T00:00:00
HCDN1341,EHCOSOR,MARIA AZUCENA,F,BUENOS AIRES,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2017-12-09T00:00:00,FEDERAL UNIDOS POR UNA NUEVA ARGENTINA,2015-12-10T00:00:00,2017-12-09T00:00:00
HCDN2766,EL SUKARIA,SOHER,F,CORDOBA,2019-12-10T00:00:00,2023-12-09T00:00:00,2019-12-04T00:00:00,2023-12-09T00:00:00,PRO,2019-12-10T00:00:00,2023-12-09T00:00:00
HCDN1419,ELIAS DE PEREZ,SILVIA BEATRIZ,F,TUCUMAN,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2013-12-12T00:00:00,UCR,2013-12-10T00:00:00,2013-12-12T00:00:00
HCDN1419,ELIAS DE PEREZ,SILVIA BEATRIZ,F,TUCUMAN,2013-12-10T00:00:00,2017-12-09T00:00:00,2013-12-04T00:00:00,2013-12-12T00:00:00,UCR,2013-12-18T00:00:00,2015-12-09T00:00:00
HCDN1256,ELICECHE,CARLOS TOMAS,M,CHUBUT,2011-12-10T00:00:00,2015-12-09T00:00:00,2011-12-06T00:00:00,2013-03-01T00:00:00,FRENTE PARA LA VICTORIA - PJ,2011-12-10T00:00:00,2013-03-01T00:00:00
HCDN1257,ELORRIAGA,OSVALDO ENRIQUE,M,ENTRE RIOS,2011-12-10T00:00:00,2015-12-09T00:00:00,2011-12-06T00:00:00,2015-12-09T00:00:00,FRENTE PARA LA VICTORIA - PJ,2011-12-10T00:00:00,2015-12-09T00:00:00
HCDN2435,Enriquez,Jorge Ricardo,M,CIUDAD DE BUENOS AIRES,2017-12-10T00:00:00,2021-12-09T00:00:00,2017-12-18T00:00:00,2021-12-09T00:00:00,PRO,2017-12-18T00:00:00,2021-12-09T00:00:00
HCDN1090,ERRO,NORBERTO PEDRO,M,BUENOS AIRES,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-19T00:00:00,2011-12-09T00:00:00,DE LA CONCERTACION,2007-12-10T00:00:00,2009-03-30T00:00:00
HCDN1090,ERRO,NORBERTO PEDRO,M,BUENOS AIRES,2007-12-10T00:00:00,2011-12-09T00:00:00,2007-12-19T00:00:00,2011-12-09T00:00:00,BUENOS AIRES POR EL CAMBIO,2009-03-31T00:00:00,2009-11-11T00:00:00
